recording_id,recipe_id,recipe_name,num_visual_steps,num_graph_nodes,num_matched,avg_similarity,has_errors
10_16,10,pinwheels,19,19,17,-0.04729129231589682,False
10_18,10,pinwheels,19,19,17,-0.006435649579062182,False
10_24,10,pinwheels,19,19,17,0.0016350148464826977,False
10_26,10,pinwheels,13,19,11,0.06411305476318706,True
10_31,10,pinwheels,16,19,14,-0.017890027591160367,True
10_42,10,pinwheels,19,19,16,0.016685791313648224,True
10_46,10,pinwheels,18,19,16,-0.00821159832412377,True
10_47,10,pinwheels,19,19,17,-0.010562727939994895,True
10_48,10,pinwheels,16,19,16,-0.01078320509986952,True
10_50,10,pinwheels,13,19,12,0.03754048872118195,True
10_6,10,pinwheels,19,19,17,0.01437326191979296,False
10_7,10,pinwheels,19,19,17,-0.0006730027277680004,True
12_10,12,tomatomozzarellasalad,9,9,9,-0.010418553112281693,False
12_119,12,tomatomozzarellasalad,9,9,9,0.007371106909381019,False
12_12,12,tomatomozzarellasalad,9,9,9,-0.025226803082558844,False
12_13,12,tomatomozzarellasalad,9,9,9,-0.014374614382783571,False
12_15,12,tomatomozzarellasalad,9,9,9,-0.009902365091774199,False
12_16,12,tomatomozzarellasalad,9,9,9,0.029141110368072987,False
12_17,12,tomatomozzarellasalad,9,9,9,0.03994927058617274,False
12_19,12,tomatomozzarellasalad,9,9,9,0.019585163849923346,False
12_26,12,tomatomozzarellasalad,8,9,8,0.02058371715247631,True
12_2,12,tomatomozzarellasalad,9,9,9,-0.029969537009795506,False
12_38,12,tomatomozzarellasalad,9,9,9,0.012100422547923194,True
12_41,12,tomatomozzarellasalad,9,9,9,-0.024105013865563605,True
12_43,12,tomatomozzarellasalad,5,9,5,-0.04775804653763771,True
12_48,12,tomatomozzarellasalad,9,9,9,-0.02477294434275892,True
12_51,12,tomatomozzarellasalad,9,9,9,0.001667593088414934,True
12_5,12,tomatomozzarellasalad,9,9,9,-0.01022657131155332,False
12_6,12,tomatomozzarellasalad,9,9,9,0.016059826749066513,True
12_9,12,tomatomozzarellasalad,9,9,9,-0.024585151424010594,False
13_12,13,buttercorncup,8,12,7,0.00534011290541717,True
13_14,13,buttercorncup,12,12,1,0.01566743105649948,False
13_18,13,buttercorncup,12,12,1,-0.04971962794661522,False
13_20,13,buttercorncup,12,12,1,0.00306861475110054,False
13_24,13,buttercorncup,11,12,1,0.03868865966796875,False
13_31,13,buttercorncup,10,12,1,-0.00851605087518692,True
13_32,13,buttercorncup,9,12,1,-0.01707116886973381,True
13_36,13,buttercorncup,9,12,1,-0.011884654872119427,True
13_38,13,buttercorncup,9,12,1,0.008717931807041168,False
13_41,13,buttercorncup,12,12,1,0.02606380730867386,True
13_44,13,buttercorncup,11,12,10,0.030267441365867852,True
13_45,13,buttercorncup,12,12,1,-0.01855374127626419,False
13_5,13,buttercorncup,12,12,1,-0.031333062797784805,False
13_9,13,buttercorncup,12,12,1,0.012839121744036674,False
15_17,15,tomatochutney,19,19,19,-0.02668193208151742,True
15_18,15,tomatochutney,19,19,19,-0.0259284612379576,False
15_19,15,tomatochutney,19,19,19,-0.016538505295389576,True
15_28,15,tomatochutney,15,19,15,-0.07899811038126549,True
15_29,15,tomatochutney,18,19,18,-0.03225888032466173,True
15_2,15,tomatochutney,19,19,19,-0.02579109346199977,False
15_30,15,tomatochutney,18,19,18,-0.0014788348020778762,True
15_33,15,tomatochutney,13,19,13,-0.03890866213119947,True
15_37,15,tomatochutney,15,19,15,-0.057621038208405174,True
15_39,15,tomatochutney,18,19,18,-0.0048462113417271115,True
15_41,15,tomatochutney,18,19,18,-0.029629289793471496,True
15_46,15,tomatochutney,18,19,18,-0.03414075712983807,True
15_4,15,tomatochutney,19,19,19,-0.030949984186966168,False
15_5,15,tomatochutney,19,19,19,-0.01614493955122797,False
15_8,15,tomatochutney,19,19,19,-0.03711323792997159,False
16_10,16,scrambledeggs,23,23,23,-0.021335530965386526,False
16_17,16,scrambledeggs,23,23,23,-0.024288118331004745,False
16_18,16,scrambledeggs,22,23,22,0.014949023596603762,True
16_1,16,scrambledeggs,23,23,23,0.010881324460648972,False
16_20,16,scrambledeggs,23,23,23,0.00042060102619554686,False
16_23,16,scrambledeggs,23,23,23,-0.05549689305379339,False
16_26,16,scrambledeggs,21,23,21,0.026467253764470417,True
16_27,16,scrambledeggs,20,23,20,-0.025578267383389176,True
16_28,16,scrambledeggs,21,23,21,-0.008937558691416467,True
16_2,16,scrambledeggs,22,23,22,0.03515316258099946,True
16_35,16,scrambledeggs,20,23,20,-0.030743704363703727,True
16_39,16,scrambledeggs,20,23,19,0.0030065485717434633,True
16_3,16,scrambledeggs,23,23,23,-0.018996424203657585,False
16_40,16,scrambledeggs,22,23,22,-0.02618104409934445,True
16_42,16,scrambledeggs,22,23,22,-0.06859928589652885,True
16_44,16,scrambledeggs,19,23,19,0.003492436371743679,True
17_10,17,cucumberraita,11,11,11,0.03338726076551459,False
17_11,17,cucumberraita,11,11,11,-0.023989222605120052,False
17_14,17,cucumberraita,11,11,11,0.02606189860539003,False
17_15,17,cucumberraita,11,11,11,0.05057169632478194,False
17_16,17,cucumberraita,11,11,11,0.019654095850207588,False
17_19,17,cucumberraita,11,11,11,-0.002461451359770515,False
17_20,17,cucumberraita,11,11,11,0.027022483419965614,False
17_21,17,cucumberraita,11,11,11,0.05090261250734329,False
17_23,17,cucumberraita,11,11,11,0.008245014839551666,False
17_28,17,cucumberraita,8,11,8,-0.01455757673829794,True
17_29,17,cucumberraita,10,11,10,-0.0038504143245518207,True
17_36,17,cucumberraita,7,11,7,-0.010553864096956593,True
17_37,17,cucumberraita,11,11,10,-0.027361580915749074,True
17_3,17,cucumberraita,11,11,11,-0.005271995101462711,False
17_40,17,cucumberraita,10,11,10,0.029062995873391628,True
17_43,17,cucumberraita,10,11,10,-0.015822123549878598,True
17_45,17,cucumberraita,11,11,11,-0.023136861791664905,True
17_49,17,cucumberraita,11,11,11,-0.013274343853647059,True
17_5,17,cucumberraita,11,11,11,0.025454885918985714,False
17_8,17,cucumberraita,11,11,11,-0.035106012259017334,False
18_101,18,zoodles,12,13,12,-0.0035337754525244236,True
18_11,18,zoodles,12,13,12,-0.04914614651352167,True
18_12,18,zoodles,13,13,13,-0.05146295548631595,False
18_19,18,zoodles,12,13,12,-0.0301595451310277,False
18_24,18,zoodles,13,13,13,-0.04729125655900974,False
18_27,18,zoodles,12,13,12,-0.04566748230718076,True
18_28,18,zoodles,13,13,13,-0.06719924925038448,True
18_2,18,zoodles,13,13,13,-0.02671920185765395,True
