video_id,t_start,t_end,score
26_22,978.85,1016.41,0.9997
26_22,828.39,852.11,0.998
26_22,856.47,899.74,0.997
26_22,675.46,698.48,0.9966
26_22,938.96,975.77,0.9956
26_22,640.7,674.96,0.9951
26_22,1160.49,1177.19,0.995
26_22,1193.32,1228.8,0.9942
26_22,1133.03,1159.73,0.9941
26_22,933.68,936.78,0.9939
26_22,763.6,827.91,0.9937
26_22,901.86,932.36,0.9927
26_22,616.7,638.56,0.9883
26_22,1119.77,1131.75,0.9859
26_22,700.37,759.48,0.9853
26_22,1016.62,1044.29,0.985
26_22,1045.58,1114.8,0.9467
26_22,1133.05,1159.72,0.135
26_22,901.85,932.35,0.1343
26_22,933.68,936.78,0.1333
26_22,1016.63,1044.28,0.1332
26_22,763.61,827.83,0.1325
26_22,1119.77,1131.75,0.1306
26_22,1133.03,1159.74,0.0183
26_22,901.84,932.35,0.018
26_22,1030.02,1042.99,0.0176
26_22,1018.11,1029.91,0.0164
26_22,1158.63,1168.66,0.0129
26_22,1145.14,1147.3,0.0124
26_22,1107.01,1113.28,0.0091
26_22,737.06,748.64,0.008
26_22,872.01,895.6,0.008
26_22,733.47,736.15,0.007
26_22,1186.9,1228.8,0.0069
26_22,719.14,730.42,0.0064
26_22,798.64,824.06,0.006
26_22,979.63,985.67,0.006
26_22,677.22,688.98,0.0058
26_22,978.94,1002.48,0.0052
26_22,1069.0,1071.76,0.0041
26_22,933.52,999.07,0.0034
26_22,1012.16,1018.26,0.0031
26_22,734.07,755.04,0.0031
26_22,1153.67,1156.94,0.003
26_22,932.86,937.85,0.0029
26_22,1049.02,1086.44,0.0029
26_22,1106.07,1115.85,0.0027
26_22,1035.39,1042.59,0.0027
26_22,939.1,944.37,0.0022
26_22,617.07,622.9,0.0021
26_22,693.63,759.67,0.0021
26_22,826.81,856.75,0.002
26_22,1160.84,1181.5,0.0019
26_22,1117.61,1133.71,0.0018
26_22,768.61,792.39,0.0018
26_22,695.41,704.31,0.0016
26_22,936.59,939.41,0.0014
26_22,1132.3,1137.82,0.0014
26_22,1141.98,1144.66,0.0014
26_22,1019.57,1022.96,0.0014
26_22,1127.48,1130.67,0.0014
26_22,864.28,869.95,0.0014
26_22,948.12,954.16,0.0014
26_22,1056.46,1108.24,0.0014
26_22,962.24,974.06,0.0013
26_22,903.49,909.53,0.0013
26_22,980.33,983.44,0.0013
26_22,757.79,760.25,0.0012
26_22,1213.62,1228.8,0.0012
26_22,1042.32,1044.28,0.0012
26_22,1069.45,1071.92,0.0011
26_22,940.49,964.2,0.0011
26_22,939.42,942.03,0.001
26_22,780.22,785.5,0.001
26_22,1071.29,1073.85,0.001
2_41,953.6,961.59,0.9993
2_41,827.61,876.65,0.9988
2_41,1109.32,1124.26,0.9988
2_41,741.26,764.72,0.9986
2_41,630.41,662.74,0.9981
2_41,922.5,945.96,0.9978
2_41,877.72,902.24,0.9973
2_41,799.13,817.16,0.9972
2_41,1135.76,1176.22,0.9969
2_41,1192.54,1201.06,0.9956
2_41,765.79,787.08,0.9955
2_41,684.8,719.98,0.9952
2_41,1199.62,1228.8,0.9946
2_41,718.86,743.4,0.9888
2_41,784.97,799.48,0.9857
2_41,976.09,1107.79,0.9826
2_41,881.6,888.86,0.8222
2_41,1135.78,1176.17,0.1352
2_41,1109.34,1124.26,0.1349
2_41,953.6,961.6,0.1349
2_41,799.13,817.15,0.1345
2_41,1192.53,1201.06,0.134
2_41,684.81,719.95,0.1338
2_41,784.98,799.49,0.1325
2_41,718.86,743.41,0.131
2_41,741.26,764.72,0.1265
2_41,877.73,902.23,0.1135
2_41,1109.34,1124.26,0.0181
2_41,784.97,799.51,0.0181
2_41,718.87,743.41,0.0173
2_41,902.39,908.86,0.0171
2_41,859.54,872.51,0.0105
2_41,1174.71,1196.63,0.0098
2_41,961.4,971.3,0.0097
2_41,915.26,950.25,0.0094
2_41,757.65,763.64,0.0093
2_41,743.71,754.77,0.0085
2_41,626.01,663.0,0.0073
2_41,1187.41,1193.07,0.0055
2_41,776.98,815.56,0.0049
2_41,771.84,785.78,0.0035
2_41,706.46,717.74,0.0035
2_41,810.64,817.43,0.0034
2_41,682.6,708.74,0.0034
2_41,899.81,909.76,0.0032
2_41,930.83,937.89,0.0032
2_41,1123.54,1194.45,0.0029
2_41,983.68,1031.4,0.0027
2_41,818.32,890.63,0.0024
2_41,786.47,789.99,0.0022
2_41,986.3,997.98,0.0021
2_41,732.49,743.64,0.0021
2_41,817.89,829.17,0.002
2_41,1027.69,1115.51,0.002
2_41,1128.97,1131.47,0.0019
2_41,612.73,616.23,0.0017
2_41,1207.36,1209.77,0.0016
2_41,861.2,874.44,0.0015
2_41,882.36,885.11,0.0014
2_41,797.76,800.28,0.0012
2_41,1224.08,1228.8,0.0012
2_41,740.68,746.23,0.0011
2_41,746.0,749.33,0.0011
2_41,806.36,817.8,0.0011
2_41,843.16,873.19,0.0011
3_14,846.67,855.05,0.9991
3_14,669.5,675.99,0.9989
3_14,737.01,761.67,0.9983
3_14,855.7,933.73,0.998
3_14,792.68,798.11,0.9971
3_14,676.97,700.01,0.9965
3_14,719.49,734.28,0.9962
3_14,706.77,718.21,0.9962
3_14,764.42,792.68,0.9883
3_14,616.65,624.77,0.9868
3_14,812.66,842.12,0.9862
3_14,624.77,658.89,0.9846
3_14,658.89,666.82,0.9651
3_14,855.58,933.75,0.1356
3_14,737.04,761.68,0.1353
3_14,676.96,700.04,0.1353
3_14,669.49,676.0,0.1348
3_14,792.68,798.11,0.1343
3_14,719.49,734.3,0.1341
3_14,764.4,792.69,0.1339
3_14,797.76,803.9,0.0289
3_14,669.49,675.99,0.0183
3_14,676.97,700.01,0.0183
3_14,719.48,734.28,0.0178
3_14,702.4,719.94,0.0145
3_14,1071.74,1082.23,0.0107
3_14,707.84,710.78,0.0083
3_14,984.57,990.5,0.007
3_14,651.26,654.2,0.0068
3_14,940.27,961.47,0.0059
3_14,1041.4,1047.33,0.0042
3_14,623.23,625.99,0.0038
3_14,629.85,641.99,0.0037
3_14,1115.71,1137.25,0.0037
3_14,868.97,874.31,0.0036
3_14,934.41,1011.68,0.0035
3_14,721.32,793.65,0.0028
3_14,919.38,938.66,0.0026
3_14,985.09,995.06,0.0024
3_14,1030.49,1071.36,0.0024
3_14,787.19,793.29,0.0023
